"Last Updated on","Created on","Internal Reference","Name","Material Type","General Subcategory/Display Name","Unit of Measure/Display Name","Bulk status","Netto Claim","Netto Claim UOM/Display Name","Factory/Display Name"
"2022-07-18 01:47:43","2022-07-15 03:01:44","ES-RTEB-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 02 Emperor Brown 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:47:57","2022-07-15 03:03:52","ES-RTEB-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 02 Emperor Brown 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:48:09","2022-07-15 03:04:31","ES-RTEB-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 02 Emperor Brown 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:48:51","2022-07-15 03:28:49","ES-RTNS-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 04 Enchanting Nude Spell 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:49:07","2022-07-15 03:30:29","ES-RTNS-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 04 Enchanting Nude Spell 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:49:18","2022-07-15 03:31:13","ES-RTNS-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 04 Enchanting Nude Spell 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:49:39","2022-07-15 03:32:57","ES-RTGE-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 05 Golden Espress 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:50:24","2022-07-15 03:34:15","ES-RTGE-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 05 Golden Espress 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:52:29","2022-07-15 03:35:31","ES-RTGE-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 05 Golden Espress 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:52:43","2022-07-15 03:36:55","ES-RTBG-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 06 Black Goddiva 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:52:56","2022-07-15 03:37:31","ES-RTBG-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 06 Black Goddiva 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:55:27","2022-07-15 03:38:13","ES-RTBG-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 06 Black Goddiva 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:56:48","2022-07-15 03:56:51","ES-RTLAFS-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 07 Love at First Sight 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 02:02:32","2022-07-15 03:57:29","ES-RTLAFS-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 07 Love at First Sight 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 02:02:52","2022-07-15 03:58:03","ES-RTLAFS-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 07 Love at First Sight 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 02:14:40","2022-07-15 03:59:26","ES-RTDC-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 08 Dolly Crush 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 02:23:36","2022-07-15 04:00:18","ES-RTDC-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 08 Dolly Crush 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 02:27:23","2022-07-15 04:03:43","ES-RTDC-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 08 Dolly Crush 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 02:31:28","2022-07-15 04:06:50","ES-RTSB-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 09 Skycrapping Blue 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 02:49:34","2022-07-15 04:07:38","ES-RTSB-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 09 Skycrapping Blue 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 03:02:28","2022-07-15 04:08:23","ES-RTSB-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 09 Skycrapping Blue 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 08:21:55","2022-07-15 04:55:00","ES-RTMFT-01-BULK","MAKE OVER Trivia Eyeshadow Relaunch 10 Magical Fairy Tale 01","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 08:22:10","2022-07-15 04:55:37","ES-RTMFT-02-BULK","MAKE OVER Trivia Eyeshadow Relaunch 10 Magical Fairy Tale 02","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 08:22:22","2022-07-15 04:56:24","ES-RTMFT-03-BULK","MAKE OVER Trivia Eyeshadow Relaunch 10 Magical Fairy Tale 03","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-08-02 02:46:06","2021-08-03 02:25:14","F-OMGL-BULK","OMG Liquid Foundation Light","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-29 07:02:52","2022-07-28 03:32:58","L-MLCQ-BULK","OMG Oh My Glam Matte Kiss Lip Cream Nude Orange","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 02:53:55","2022-07-04 02:29:04","L-IPAM02-BULK","Wardah IP Lip Ampoule 02","Semi Finished Goods","Bulk","g","New","0.0","","JTK04"
"2022-07-18 02:54:06","2022-07-04 02:29:57","L-IPAM03-BULK","Wardah IP Lip Ampoule 03","Semi Finished Goods","Bulk","g","New","0.0","","JTK04"
"2022-08-03 03:07:54","2022-04-21 08:20:23","HWB-EBSSSP-BULK","Wonderly Exfoliating Body Shower Acne Purifying Mode","Semi Finished Goods","Bulk","g","","0.0","",""
