"Korporat Code","Factory","Lifecycle"
"THIC-BGV-X","",""
"SAMP-BTGLGCV-X","",""
"BENT-BGISDV-X","",""
"BENT-BGVS5PC-X","",""
"PWD-BNTNT-X","",""
"BEN-BEN-WT","",""
"EMU-BE1-X","",""
"BETA-A98MR-X","",""
"L-BKML01-B","","initial"
"L-BKSS01-B","","initial"
"EO-OKDS01-B","JTK02","new product"
"S-CSCB-BULK","JTK02","initial"
"S-CSCB01-B","JTK02","new product"
"MB-COTR01-B","JTK02","new product"
"M-SSSC-BULK","JTK02","initial"
"M-SSSC01-B","JTK02","new product"
"D-DEN-BULK","JTK02","initial"
"D-DEN01-B","JTK06","new product"
"EO-BOLC01-B","JTK02","new product"
"EO-BOBR01-B","JTK02","new product"
"EO-BOHF-BULK","JTK02","initial"
"EO-BOHF01-B","JTK02","new product"
"EO-BOMB01-B","JTK02","new product"
"EO-BOCR01-B","JTK02","new product"
"EO-BORF01-B","JTK02","new product"
"EO-BOSN01-B","JTK02","new product"
"EO-BOSH01-B","JTK02","new product"
"EO-BOTB01-B","JTK02","new product"
"EO-BOLC-BULK","JTK02","initial"
"EO-BOBR-BULK","JTK02","initial"
"EO-BOMB-BULK","JTK02","initial"
"EO-BOCR-BULK","JTK02","initial"
"EO-BORF-BULK","JTK02","initial"
"EO-BOSN-BULK","JTK02","initial"
"EO-BOSH-BULK","JTK02","initial"
"EO-BOTB-BULK","JTK02","initial"
"EO-SOCB-BULK","JTK02","initial"
"EO-SOEC-BULK","JTK02","initial"
"EO-SOLD-BULK","JTK02","initial"
"EO-SOLM-BULK","JTK02","initial"
"EO-SOLG-BULK","JTK02","initial"
"EO-SOOR-BULK","JTK02","initial"
"EO-SOPM-BULK","JTK02","initial"
"EO-SOTT-BULK","JTK02","initial"
"EO-SOCB01-B","JTK02","new product"
"EO-SOEC01-B","JTK02","new product"
"EO-SOLD01-B","JTK02","new product"
"EO-SOLM01-B","JTK02","new product"
"EO-SOLG01-B","JTK02","new product"
"EO-SOOR01-B","JTK02","new product"
"EO-SOPM01-B","JTK02","new product"
"EO-SOTT01-B","JTK02","new product"
"LD-CDFB-BULK","","initial"
"LD-CDFB01-B","JTK06","new product"
"FW-CSGC01-B","JTK02","new product"
"FW-CSGC-BULK","JTK02","initial"
"M-CSGM01-BULK","JTK02","initial"
"M-CSGD01-B","JTK02","new product"
"TH-VSKS01-B","JTK06","initial"
"TH-VSKG01-B","JTK06","initial"
"TH-VSLS01-B","JTK06","initial"
"MB-MBSG-BULK","JTK02","initial"
"MB-MBSG01-B","JTK02","new product"
"S-CSPB01-BULK","JTK02","initial"
"S-CSPB01-B","JTK02","new product"
"PD-PSSS01-B","","initial"
"EO-OKPT01-B","JTK02","new product"
"TH-VSVP01-B","JTK06","initial"
"S-CSYP-BULK","JTK02","initial"
"S-CSYP01-B","JTK02","new product"
"BIO-HYAL-BIL","",""
"SCRU-BMBMV-X","","initial"
"WARN-BGM103BP-X","",""
"WARN-BGM103RP-X","",""
"WARN-BGM103YP-X","",""
"A-BGSA200-X","",""
"SAMP-BGWCTCS2A-X","",""
"A-BGFA200-X","","initial"
"BUTT-EBUSA-SBUR","",""
"W-AW10-BD","JTK06","initial"
"D-DEORO-BD","JTK02","new product"
"D-DEORO-BULK","JTK02",""
"HBW-MAL-BULK","JTK02","initial"
"HBW-MALN1-BD","JTK02","initial"
"HBW-NFSBWN1C-BD","JTK02","initial"
"HBW-NFSBWN1A-BD","JTK02","initial"
"HBW-NFSBWN1D-BD","JTK02","initial"
"HS-HSN1FG-BD","JTK02","initial"
"HBW-BWC-BULK","JTK02",""
"HBW-BWN1C-BD","JTK02","new product"
"HBW-BWN5C-BD","JTK02","new product"
"HBW-BWN2C-BD","JTK02","new product"
"HBW-BWN6C-BD","JTK02","new product"
"HBW-BWN4C-BD","JTK02","new product"
"HBW-HW-BULK","JTK02",""
"HBW-HWN2-BD","JTK02","new product"
"HBW-HWN1-BD","JTK02","new product"
"HBW-HWN3-BD","JTK02","new product"
"HBW-BW-BULK","JTK02",""
"HBW-BWN1A-BD","JTK02","new product"
"HBW-BWN5A-BD","JTK02","new product"
"HBW-BWN2A-BD","JTK02","new product"
"HBW-BWN6A-BD","JTK02","new product"
"HBW-BWN4A-BD","JTK02","new product"
"HBW-BWD-BULK","JTK02",""
"HBW-BWN1D-BD","JTK02","new product"
"HBW-BWN5D-BD","JTK02","new product"
"HBW-BWN2D-BD","JTK02","new product"
"HBW-BWN6D-BD","JTK02","new product"
"HBW-BWN4D-BD","JTK02","new product"
"HBW-HWB-BULK","JTK02",""
"HBW-HWN2B-BD","JTK02","new product"
"HBW-HWN1B-BD","JTK02","new product"
"HBW-HWN3B-BD","JTK02","new product"
"P-RAM1-BD","JTK06","initial"
"P-RAM2-BD","JTK06","initial"
"P-RAM3-BD","JTK06","initial"
"P-RCM1-BD","JTK06","initial"
"P-RCM2-BD","JTK06","initial"
"P-RCM3-BD","JTK06","initial"
"P-RCM4-BD","JTK06","initial"
"P-RHLM1-BD","JTK06","initial"
"P-RHLM2-BD","JTK06","initial"
"P-RHLM3-BD","JTK06","initial"
"P-RHLM4-BD","JTK06","initial"
"ACTI-BWCTA-X","",""
"P-BA-L","JTK06","new product"
"OIL-BLWHMO-X","",""
"WARN-6000-","",""
"WARN-6400-","",""
"WARN-6000G-","",""
"PARF-BB069-","",""
"PARF-BLMODA-X","",""
"BO-SPF01-BULK","JTK01",""
"BO-SIP02-BULK","JTK01",""
"BO-SPS03-BULK","JTK01",""
"BO-SRE04-BULK","JTK01",""
"BO-SBS05-BULK","JTK01",""
"BO-SCS06-BULK","JTK01",""
"BO-SSS07-BULK","JTK01",""
"BO-SCC08-BULK","JTK01",""
"BO-SST09-BULK","JTK01",""
"BO-SKPP10-BULK","JTK01",""
"BO-01PFRNFSN3,5-MO","JTK01",""
"BO-02IPRNFSN3,5-MO","JTK01",""
"BO-03PP1RNFS3,5-MO","JTK01",""
"BO-04RERNFSN3,5-MO","JTK01",""
"BO-05BSRNFSN3,5-MO","JTK01",""
"BO-06CSRNFS3,5G-MO","JTK01",""
"BO-07SSRNFSN3,5-MO","JTK01",""
"BO-08CCRNFSN3,5-MO","JTK01",""
"BO-W0F-02 BULK","JTK01",""
"BO-W0G-01 BULK","JTK01",""
"BO-W0E-01 BULK","JTK01",""
"BO-S01PF6GRRNFS-MO","JTK01",""
"BO-S03PP6GRRNFS-MO","JTK01",""
"BO-S06CS6GRRNFS-MO","JTK01",""
"BO-S07SS6GRRNFS-MO","JTK01",""
"BO-S08CC6GRRNFS-MO","JTK01",""
"BO-W0D1&2RNFS4G-W","JTK01",""
"BO-W0D015GRRNFS-W","JTK01",""
"BO-W0E015GRRNFS-W","JTK01",""
"BO-W0F025GRRNFS-W","JTK01",""
"BO-W0G015GRRNFS-W","JTK01",""
"BO-W1A1&2RNFS4G-W","JTK01",""
"BO-W1B1&2RNFS4G-W","JTK01",""
"BO-W1C1&2RNFS4G-W","JTK01",""
"BCR-NMBMS-WBH","JTK02","inactive"
"BCR-NMBS-WBH","JTK02","initial"
"BRSB-850074-X","","initial"
"FW-BS-BULK","JTK02",""
"M-BSTUC-BULK","JTK02",""
"PARF-BRCE-X","",""
"BUKU-BYS2126-MO","JTK06","inactive"
"C--BULK","JTK02",""
"CB-A-BULK","JTK02",""
"CB-G-BULK","JTK02",""
"CB-K-BULK","JTK02",""
"CB-L1-BULK","JTK02",""
"F-LLUBW1-WBULK","JTK02",""
"F-LLUNW1-BULK","JTK02",""
"F-LLUNWW1-WBULK","JTK02",""
"HC-A2-BULK","JTK02",""
"HC-F-BULK","JTK02",""
"HM-P-BULK","JTK02",""
"HSP-N1B3N-BULK","JTK02",""
"HSP-N1G1S-BULK","JTK02",""
"HT-G-BULK","JTK02",""
"HT-G1-BULK","JTK02",""
"HT-Y1-BULK","JTK02",""
"SRM-H-BULK","JTK02",""
"L-EB18C33-BULK","JTK04",""
"LAR-SF30-BULK","JTK02",""
"L-E42-BULK","JTK04",""
"L-EC2C30-BULK","JTK04",""
"L-EL1C29-BULK","JTK04",""
"L-ER16C23-BULK","JTK04",""
"L-NWB1C8-BULK","JTK04",""
"L-NWCLC13-BULK","JTK04",""
"L-NWV11C7-BULK","JTK04",""
"L-NWR1N3-BULK","JTK04",""
"L-NWR13C11-BULK","JTK04",""
"L-WSCBC2-BULK","JTK04",""
"LW-Z-BULK","JTK02",""
"MK--BULK","JTK02",""
"M-PD-BULK","JTK02",""
"N-L-BULK","JTK02",""
"N-P3P-BULK","JTK02",""
"SL--BULK","JTK02",""
"S-A2-BULK","JTK02",""
"S-G-BULK","JTK02",""
"S-SPARLAV-BULK","JTK02",""
"S-SPAEL-BULK","JTK02",""
"SGL--BULK","JTK02",""
"SUNS-GP67S-30-BULK","JTK02",""
"WARN-B-BULK","JTK02",""
"WL--BULK","JTK02",""
"P-PBA-MO","JTK06","initial"
"P-NFSASRMPFC-W","JTK06","initial"
"SRM-RCD-BULK","JTK02","initial"
"MOIS-MNL-X","",""
"DDC-CDL-BULK","JTK02",""
"DDC-CDN-BULK","JTK02",""
"FMI-CDFM-BULK","JTK02",""
"SRM-CD-BULK","JTK02",""
"WARN-14032-X","",""
"WARN-CSR28-X","",""
"WARN-CSR22-X","",""
"WARN-C19011-R7CL-K","",""
"WARN-C19012-DCR6-K","",""
"WARN-TPA502-X","",""
"WARN-TOA506-X","",""
"WARN-ABIO-X","",""
"WARN-A407-X","",""
"WARN-A450-X","",""
"WARN-C335138--K","",""
"WARN-TE-A40BIOSC-K","",""
"WARN-TOA403-KF","",""
"WARN-BL98-X","",""
"WARN-SCRVLT-X","","initial"
"WARN-DCY10AL-X","",""
"WARN-FW108S-X","",""
"WARN-IRGLS-X","",""
"WARN-C811RD-X","",""
"WARN-6278MRN-X","",""
"SERI-790-","",""
"CABO-M5-X","",""
"CCC-CCN-BULK","JTK02",""
"CCC-CCL-BULK","JTK02",""
"SILI-CES1104-X","",""
"PARF-CFLS-X","","initial"
"PARF-CFTME-X","",""
"CHEM-1789-X","","initial"
"PARF-CLMRER-X","",""
"PARF-CWGT-X","","initial"
"VITC-VCE-X","",""
"WARN-7401S-X","",""
"TITA-CROTS-X","",""
"CRO1-CRMLAB-X","",""
"BO-CPLP01-BULK","JTK01",""
"BO-CPLP02-BULK","JTK01",""
"BO-CPLP03-BULK","JTK01",""
"BO-CPLP04-BULK","JTK01",""
"DF-PCSR-BULK","JTK02",""
"EXTR-CNDWLHB-X","",""
"WAX-CDL204--X","",""
"WAX-CWCG-X","",""
"WAX-DR415-X","",""
"SAMP-CDWXCG7-X","",""
"ACTI-CPXY-X","",""
"PARF-R1616102-X","",""
"CARB--94022,68-K","",""
"CARB-C980P-X","",""
"AQUA---K","",""
"CARB-UT-","",""
"CARB-UT20-X","",""
"CARB-UT21P-X","",""
"PARF-CRMOD-X","",""
"MINY-CAST-X","",""
"OIL-CA-MS","",""
"NEUT-CSSFL-X","","initial"
"CMC--2000F-K","",""
"WARN-CY--K","",""
"EMU-CPSNL-X","",""
"SAMP-CCLRK-X","",""
"ACTI-CCLRK-X","",""
"SFT-CERA847-X","",""
"CERE-810-","",""
"EMU-CTL8-X","",""
"EMU-C10-X","",""
"SAMP-CTOB-X","",""
"EMU-CTB-X","",""
"CECC---K","",""
"EMU-CTLE-X","",""
"EMU-COE-X","",""
"SAMP-CTOSFT-X","",""
"EMU-CSF-X","",""
"SAMP-CTOULT-X","",""
"EMU-CULT-X","",""
"CHA-CRPD-X","",""
"BO-CLCPE-BULK","JTK02",""
"FA-CLHP-BULK","JTK01",""
"BO-CLPPB-BULK","JTK01",""
"BO-CLPPMCB-BULK","JTK01",""
"BO-CLPPCCC-BULK","JTK01",""
"BO-CLPPPML-BULK","JTK01",""
"BO-CLPCS-BULK","JTK01",""
"BO-CLPPTVB-BULK","JTK01",""
"BO-CM-A BULK","JTK01",""
"BO-CM-B BULK","JTK01",""
"BO-CM-C BULK","JTK01",""
"BO-CM-D BULK","JTK01",""
"BO-CM-E BULK","JTK01",""
"BO-CLCNB-BULK","JTK02",""
"BO-CLCPI-BULK","JTK02",""
"BO-CLCVI-BULK","JTK02",""
"SUNS-CHMOS-X","","initial"
"SCRU-PE40-ECA-K","",""
"SCRU-CMS40G-X","",""
"SCRU-CHEMPE20-X","",""
"ALUM--ACH-K","",""
"CHOL-UNFP-X","",""
"CIRE---K","",""
"WAX-CRBLE-X","",""
"SURF-CTISL-X","",""
"GLYC-MS-CGGMS N/EB25","",""
"DISP-CTRLPLM-X","","initial"
"SAMP-CTML360-X","",""
"EMU-C316-X","",""
"EMU-CTL3-X","",""
"ASAM-A-CAAH-K","",""
"TC-CCB-BULK","JTK01",""
"TC-CCL-BULK","JTK01",""
"TC-CCM-BULK","JTK01",""
"TC-CCP-BULK","JTK01",""
"CLAI-II-IC-K","",""
"PARF-CM1500-X","",""
"WARN-CLOGB--K","",""
"WARN-CLOSG--K","",""
"WARN-CB--K","",""
"WARN-CCCLOC--K","",""
"WARN-CLOG222--K","",""
"WARN-CLONAR-424CB-K","",""
"WARN-CLOV--K","",""
"CLOV-BOS873-X","","initial"
"EXTR-CCNWE-X","","initial"
"SAMP-CCNWTR-X","",""
"SAMP-CR90185-X","",""
"CRSB-850077-X","","initial"
"WARN-CBBLKAIO-BULK","JTK04",""
"WARN-CBC19011-BULK","JTK04",""
"WARN-CBC19012-BULK","JTK04",""
"WARN-CBC196619-BULK","JTK04",""
"WARN-CB335138A-BULK","JTK04",""
"WARN-CB338073-BULK","JTK04",""
"WARN-CBC394433-BULK","JTK04",""
"WARN-CBR27MS-BULK","JTK04",""
"WARN-CBRRT-BULK","JTK04","initial"
"WARN-CBESI2Y-BULK","JTK02",""
"WARN-CBESIR217-BULK","JTK02",""
"WARN-CBTO-BULK","JTK04",""
"WARN-CBTITAN-BULK","JTK04",""
"WARN-CBETE-BULK","JTK02",""
"WARN-CBTRO-BULK","JTK04",""
"WARN-CBEWHBI2-BULK","JTK02",""
"WARN-CBEWKBI2-BULK","JTK02",""
"WARN-CBEWMBI2-BULK","JTK02",""
"L-CHC01-BULK","JTK04",""
"L-CHC02-BULK","JTK04",""
"L-CHC03-BULK","JTK04",""
"L-CHC04-BULK","JTK04",""
"L-CHC05-BULK","JTK04",""
"L-CHC06-BULK","JTK04",""
"L-CHC07-BULK","JTK04",""
"L-CHC08-BULK","JTK04",""
"L-CHC09-BULK","JTK04",""
"L-CHC10-BULK","JTK04",""
"L-CHC11-BULK","JTK04",""
"L-CHC12-BULK","JTK04",""
"B-CLCLPA-BULK","JTK01",""
"B-CLCLPB-BULK","JTK01",""
"B-CLCLPC-BULK","JTK01",""
"B-CLCLPD-BULK","JTK01",""
"TWC-CLFTA-BULK","JTK01",""
"TWC-CLFTB-BULK","JTK01",""
"TWC-CLFTC-BULK","JTK01",""
"TWC-CLFTD-BULK","JTK01",""
"TWC-CLFTE-BULK","JTK01",""
"TWC-CLFTG-BULK","JTK01",""
"TWC-CLFTF-BULK","JTK01",""
"TWC-CLFTH-BULK","JTK01",""
"WARN-COLOMCBK-X","",""
"WARN-CLDB-","",""
"WARN-CMGT-","",""
"WARN-CLRBDX-X","",""
"EXTR-CHEN-X","",""
"SAMP-CPKOD-X","",""
"SURF-CPKOD-X","",""
"PARF-CTPSMOD-X","",""
"PARF-CW162-X","",""
"SAMP-CORN---K","",""
"CORN-SUNAR-X","",""
"CORN---K","",""
"THIC-CMDSP-X","",""
"CHAM-COSM-","",""
"CLR-CWBW-X","",""
"CLR-CWBFBW-X","",""
"SAMP-CW305W-X","",""
"CLR-CWR35-X","",""
"CLR-CWRSW-X","",""
"SAMP-CWTD5W-X","",""
"CLR-CWWTDW-X","",""
"SILI-CMSF600-X","",""
"WARN-9000-","",""
"WARN-CSW-9000S-K","",""
"COSM-168ARV-X","",""
"COSM-222--K","",""
"COSM-43V--K","",""
"COSM-CM8-X","",""
"COVB-LH8-","",""
"COVA--","",""
"EXTR-CRNEGN-X","",""
"CREA-01HPB-X","",""
"CB-RSH-BULK","JTK02",""
"L-CMME03-BULK","JTK04",""
"MUP-NMCB-WBH","JTK02","initial"
"F-W2CLUB5-BULK","JTK04",""
"F-W2CLUB51-BULK","JTK04",""
"F-W2CLUN-BULK","JTK04",""
"F-W2CLUSP-BULK","JTK04",""
"CM-CML-BULK","JTK02",""
"CRIL---K","",""
"EMUL-CRFCPR-X","",""
"CRO2-LA-","",""
"CRO1-CPS-X","",""
"EMU-CDAJ-X","",""
"IPM-CRDSG-X","",""
"CRO1-ML-","",""
"CRO1-OPLQS-X","",""
"CRO1-SS-","",""
"EMU-STS-","",""
"SAMP-CBLSSPG-X","",""
"ACTI-CBSS-AM","",""
"SAMP-CFCYP-X","",""
"SAMP-CMOMT-X","",""
"EXTR-CMRCCMT-X","",""
"CRO-LS30--K","",""
"PARF-CAEM1R101-PKG","",""
"P-CLBOISC-W","JTK02","initial"
"P-CLD-P","JTK02","initial"
"REM-CDAMG-BULK","JTK02",""
"FT-CHG-BULK","JTK02","initial"
"FT-CHGN2P-W","JTK02","initial"
"FT-CHG-W","JTK02","new product"
"FT-RCHG-W","JTK02","initial"
"FT-RCHG-BULK","","initial"
"P-CLER-W","JTK02","initial"
"P-CESR-W","JTK02","new product"
"P-CLFR-W","JTK02","initial"
"SRM-CLA-BULK","","initial"
"SRM-CLA-W","","initial"
"FW-CFW-W","JTK02","new product"
"FW-RCFW-W","JTK02","initial"
"FW-CFWN2P-W","JTK02","initial"
"FW-RCFW-BULK","JTK02","initial"
"P-CLM-W","JTK02","initial"
"P-CLNR-W","JTK02","initial"
"SRM-CAB-W","JTK02","existing"
"SRM-RCAB-W","JTK02","new product"
"SRM-CAB-BULK","JTK02",""
"M-CSAOC-W","JTK02","existing"
"M-RCSAOC-W","JTK02","new product"
"SRM-RCSAE-W","JTK02","new product"
"SRM-CSAE-BULK","JTK02",""
"REM-RCDAMG-W","JTK02","new product"
"SRM-CSRO-W","JTK02","existing"
"SRM-RCSRO-W","JTK02","new product"
"SRM-CSRO-BULK","JTK02",""
"M-RCSRRC-W","JTK02","new product"
"EXTR-CUMGLY-X","",""
"PEAR-CTNAGS-X","","initial"
"WAX-CTHRFL-X","",""
"WAX-CTHRP-X","",""
"CUTI---K","",""
"ACTI-CSR10S-X","","initial"
"SAMP-CPRTN-X","",""
"SAMP-CPETG-X","",""
"EXTR-CYPEX-X","",""
"WARN-GREE16-","",""
"WARN-R27MS-X","",""
"WARN-RED6LM4-X","",""
"WARN-DCR7-X","",""
"WARN-RED33-X","",""
"WARN-GZ0075-X","",""
"PANT--DL-K","",""
"RHM-DREIA-X","",""
"RHM-DREAQA-X","",""
"PLAS-P-D400-K","",""
"CLIM-DTFC-X","",""
"PARF-SRNTEA-X","",""
"PARF-DLPZLE-X","",""
"WARN-DKRED6-X","",""
"VITA-DL E-MS","",""
"ACTI-DNA-X","","initial"
"SILC-VM22A-X","",""
"EMU-DBC-X","",""
"EMU-DNPG-X","",""
"SFT-DUBSOD-X","",""
"FLMR-DSTY-X","",""
"ACTI-DFSLSF-X","","initial"
"P-DMU1-W","","initial"
"ALKO---L","",""
"SOLV-DEASB-X","",""
"SOLV-DEALCSB-X","","initial"
"SAMP-DMYC-X","",""
"FLMR-DMRLC-X","",""
"SURF-213K-X","",""
"EMU-DTC7-X","",""
"PANT-DXF-X","",""
"SAMP-DIAPKSF-X","",""
"SURF-DIAK-X","",""
"SAMP-DGCS-X","",""
"HUM-DGCRS-X","",""
"HUM-DPGCR-X","","initial"
"DPG-LO-","",""
"MUR-DISA-BULK","JTK02",""
"MUR-DISB-BULK","JTK02",""
"STEA-DSP300-X","",""
"EDT-DSLV-X","",""
"EDT-B--K","",""
"PARF-DVHNYE-X","","initial"
"PENG-DDG226-X","",""
"EKS-DCV-X","",""
"F-WODF-BES-BULK","JTK04",""
"F-WODF-CON01-BULK","JTK04",""
"SILI-D5225F-X","",""
"SILI-556-DC-K","",""
"SILI-9546-EDC","",""
"POWD-9701-","",""
"SILI-DC9045-X","",""
"SILI-EL7040-X","",""
"SILI-DCF-ID-X","",""
"SILI-FZ3196-X","",""
"SILI-DCMQ1600-X","",""
"SILI-1640RSN-X","",""
"SILI-CE1689-X","",""
"DOWI---K","",""
"SILI-D9SEB-X","",""
"EXTR-DB-","",""
"DRYF-PC-X","",""
"ANTP-DRYGNL-X","","initial"
"WARN-DBG-","",""
"GLYA-ACAHA-DP","",""
"HBW-RETBWCN2-W","JTK02","new product"
"HBW-RETBWAN2-W","JTK02","new product"
"P-ETNYAP-W","JTK06","initial"
"P-ETNYAY-W","JTK06","initial"
"P-ETNYBYRD-W","JTK06","initial"
"P-ETNYBGRD-W","JTK06","initial"
"P-ETNYBPRD-W","JTK06","initial"
"HBW-RETBWBN2-W","JTK02","new product"
"HBW-RETBWEN2-W","JTK02","new product"
"HBW-RETBWDN2-W","JTK02","new product"
"P-ETNYAG-W","JTK06","initial"
"GWP-ERDP-W","JTK02","initial"
"ACTI-ECTNOL-X","","initial"
"EDG-PLCG-X","",""
"SAMP-ESL205-X","",""
"BP-BMIS-BULK","JTK02",""
"BP-BMSS-BULK","JTK02",""
"BP-BMPD-BULK","JTK02",""
"BP-BMRF-BULK","JTK02",""
"FT-BSE-BULK","JTK02","initial"
"FS-BSFS-BULK","JTK02",""
"SRM-BSS-BULK","JTK02",""
"FT-BST-BULK","JTK02",""
