"Korporat Code","General State","MPS Lead Time","Ppc State"
"BOTP-PBCAC750-IX","Confirmed","5","Confirmed"
"BOTP-PBCACS240-IX","Confirmed","5","Confirmed"
"BOTP-PBCAS240-IX","Confirmed","5","Confirmed"
"BOTP-MKMN_L100-P","Confirmed","5","Confirmed"
"BOTP-CW-P450","Confirmed","5","Confirmed"
"BOTP-CWSREV1450-P","Confirmed","5","Confirmed"
"BOTP-PCLBLOS240-IX","Confirmed","5","Confirmed"
"BOTP-PCLBS240-IX","Confirmed","5","Confirmed"
"BOTP-PDFTON240-IX","Confirmed","5","Confirmed"
"BOTP-DPP-P200","Confirmed","5","Confirmed"
"BOTP-GDC240-IX","Confirmed","5","Confirmed"
"BOTP-GDC750-IX","Confirmed","5","Confirmed"
"BOTP-GDS240-IX","Confirmed","5","Confirmed"
"BOTP-GDS750-IX","Confirmed","5","Confirmed"
"BOTP-HCA-P200","Confirmed","5","Confirmed"
"BOTP-HCAN_L200-P","Confirmed","5","Confirmed"
"BOTP-HCA450-P","Confirmed","5","Confirmed"
"BOTP-HCF-P200","Confirmed","5","Confirmed"
"BOTP-HCF450-P","Confirmed","5","Confirmed"
"BOTP-HSNAHREV12-P","Confirmed","5","Confirmed"
"BOTP-HSNAHREV14-P","Confirmed","5","Confirmed"
"BOTP-HSNANHREV1-P","Confirmed","5","Confirmed"
"BOTP-HSNANBREV1-P","Confirmed","5","Confirmed"
"BOTP-HTGIN450RE-P","Confirmed","5","Confirmed"
"BOTP-HTG200N_L-P","Confirmed","5","Confirmed"
"BOTP-HTH-P200","Confirmed","5","Confirmed"
"BOTP-HTH-450","Confirmed","5","Confirmed"
"BOTP-HTK-P200","Confirmed","5","Confirmed"
"BOTP-HTNKREV120-P","Confirmed","5","Confirmed"
"BOTP-HTNTOH200R-P","Confirmed","5","Confirmed"
"BOTP-HTNTOH450R-P","Confirmed","5","Confirmed"
"BOTP-HTGREE200N-P","Confirmed","5","Confirmed"
"BOTP-HTGREE450N-P","Confirmed","5","Confirmed"
"BOTP-HTSLEREV14-P","Confirmed","5","Confirmed"
"BOTP-HTSPAL200N-P","Confirmed","5","Confirmed"
"BOTP-HTSPAL450N-P","Confirmed","5","Confirmed"
"BOTP-HTSPALREV1-P","Confirmed","5","Confirmed"
"BOTP-HTSL450REV-P","Confirmed","5","Confirmed"
"BOTP-HTSPAL2REV-P","Confirmed","5","Confirmed"
"BOTP-HTGIN200RE-P","Confirmed","5","Confirmed"
"BOTP-HTADREV120-P","Confirmed","5","Confirmed"
"BOTP-HTNK450REV-P","Confirmed","5","Confirmed"
"BOTP-PISC240-IX","Confirmed","5","Confirmed"
"BOTP-PISC750-IX","Confirmed","5","Confirmed"
"BOTP-PISCS240-IX","Confirmed","5","Confirmed"
"BOTP-PISS240-IX","Confirmed","5","Confirmed"
"BOTP-PISS750-IX","Confirmed","5","Confirmed"
"BOTP-PISTS240-IX","Confirmed","5","Confirmed"
"BOTP-PISTT240-IX","Confirmed","5","Confirmed"
"BOTP-MUR100-W","Confirmed","5","Confirmed"
"BOTP-MUZ-W100","Confirmed","5","Confirmed"
"BOTP-NLREV1450-P","Confirmed","5","Confirmed"
"BOTP-N450N_L-P","Confirmed","5","Confirmed"
"BOTP-DPPN_L200-P","Confirmed","5","Confirmed"
"BOTP-PBCAS750-IX","Confirmed","5","Confirmed"
"BOTP-PCLBS750-IX","Confirmed","5","Confirmed"
"BOTP-PTCC750-IX","Confirmed","5","Confirmed"
"BOTP-PTCS750-IX","Confirmed","5","Confirmed"
"BOTP-PCHCA450RE-P","Confirmed","5","Confirmed"
"BOTP-PCHCAREV12-P","Confirmed","5","Confirmed"
"BOTP-PCHCFREV14-P","Confirmed","5","Confirmed"
"BOTP-PCHCFREV12-P","Confirmed","5","Confirmed"
"BOTP-PCSSLR1200-P","Confirmed","5","Confirmed"
"BOTP-PCSHA450RE-P","Confirmed","5","Confirmed"
"BOTP-PCSHAREV12-P","Confirmed","5","Confirmed"
"BOTP-PCSHLE450R-P","Confirmed","5","Confirmed"
"BOTP-SSPALEREV1-P","Confirmed","5","Confirmed"
"BOTP-PCSHLEREV1-P","Confirmed","5","Confirmed"
"BOTP-PCSSLREV14-P","Confirmed","5","Confirmed"
"BOTP-SEC240-IX","Confirmed","5","Confirmed"
"BOTP-SES240-IX","Confirmed","5","Confirmed"
"BOTP-SES750-IX","Confirmed","5","Confirmed"
"BOTP-SL200N_L-P","Confirmed","5","Confirmed"
"BOTP-SLREV1200-P","Confirmed","5","Confirmed"
"BOTP-SC-P450","Confirmed","5","Confirmed"
"BOTP-SA2-P450","Confirmed","5","Confirmed"
"BOTP-SGIN-P200","Confirmed","5","Confirmed"
"BOTP-SG200N_L-P","Confirmed","5","Confirmed"
"BOTP-SGIN200REV-P","Confirmed","5","Confirmed"
"BOTP-SHER-P200","Confirmed","5","Confirmed"
"BOTP-PCSSLR1450-P","Confirmed","5","Confirmed"
"BOTP-SSPAELK-P200","Confirmed","5","Confirmed"
"BOTP-SSPAL2450N-P","Confirmed","5","Confirmed"
"BOTP-SSPARLAV-P200D","Confirmed","5","Confirmed"
"BOTP-SGLREV1200-P","Confirmed","5","Confirmed"
"BOTP-PTCC240-IX","Confirmed","5","Confirmed"
"BOTP-PTCRS240-IX","Confirmed","5","Confirmed"
"BOTP-PTCS240-IX","Confirmed","5","Confirmed"
"BOTP-HTSL200REV-P","Confirmed","5","Confirmed"
"BOTP-HT-W200","Confirmed","5","Confirmed"
"BOTP-PSFSCMBS30-T","Confirmed","3","Confirmed"
"BOTP-PCSHL450RE-P","Confirmed","5","Confirmed"
"BOTP-PCSHSPALER-P","Confirmed","5","Confirmed"
"BOTS-ABHS30-K","Confirmed","3","Confirmed"
"BOTS-APRT100-W","Confirmed","5","Confirmed"
"BOTS-AVFMR0-E","Confirmed","3","Confirmed"
"BOTS-AHG50R0-E","Confirmed","5","Confirmed"
"BOTS-AHG50R1-E","Confirmed","5","Confirmed"
"BOTS-AHG60R0-E","Confirmed","5","Confirmed"
"BOTS-APD60NP-W","Confirmed","5","Confirmed"
"BOTS-BSFT100-E","Confirmed","3","Confirmed"
"BOTS-BMIS80-EM","Confirmed","5","Confirmed"
"BOTS-BMOM80-EM","Confirmed","5","Confirmed"
"BOTS-BMPD80-EM","Confirmed","5","Confirmed"
"BOTS-BMRF80-EM","Confirmed","5","Confirmed"
"BOTS-CMCL50R0-EM","Confirmed","5","Confirmed"
"BOTS-DTMFT50R0-EM","Confirmed","5","Confirmed"
"BOTS-ELFNW40-W","Confirmed","5","Confirmed"
"BOTS-ELFLB40-W","Confirmed","5","Confirmed"
"BOTS-ELFB40-W","Confirmed","5","Confirmed"
"BOTS-EEMASREM50-W","Confirmed","5","Confirmed"
"BOTS-LFNW40NL-W","Confirmed","5","Confirmed"
"BOTS-MURDLIS50R1-EM","Confirmed","3","Confirmed"
"BOTS-MUR100R0-MO","Confirmed","5","Confirmed"
"BOTS-MURDLIS50-EM","Confirmed","5","Confirmed"
"BOTS-MIW185-MO","Confirmed","5","Confirmed"
"BOTS-MWDCBS100-EM","Confirmed","5","Confirmed"
"BOTS-MIWDC100-EM","Confirmed","5","Confirmed"
"BOTS-MIAB50R0-EM","Confirmed","5","Confirmed"
"BOTS-MPASFT50-EM","Confirmed","5","Confirmed"
"BOTS-NBHO30-K","Confirmed","3","Confirmed"
"BOTS-SCMW100R0-W","Confirmed","5","Confirmed"
"BOTS-AHHG100CJP-W","Confirmed","5","Confirmed"
"BOTS-AHHG100R1-W","Confirmed","5","Confirmed"
"BOTS-AHHG100-W","Confirmed","5","Confirmed"
"BOTS-AHHG240R0-W","Confirmed","5","Confirmed"
"BOTS-PLGMR0-MO","Confirmed","5","Confirmed"
"BOTS-PRTM10-MO","Confirmed","5","Confirmed"
"BOTS-PRTM40R0-MO","Confirmed","5","Confirmed"
"BOTS-PWCM42R0-MO","Confirmed","5","Confirmed"
"BOTS-PWCM42R1-MO","Confirmed","5","Confirmed"
"BOTS-ROFOHE60-W","Confirmed","5","Confirmed"
"BOTS-ROFOHI60-W","Confirmed","5","Confirmed"
"BOTS-SBLE200-W","Confirmed","5","Confirmed"
"BOTS-SBLI200-X","Confirmed","5","Confirmed"
"BOTS-SBLS200-W","Confirmed","5","Confirmed"
"BOTS-SCBMB100-W","Confirmed","5","Confirmed"
"BOTS-SCBMJF100-W","Confirmed","5","Confirmed"
"BOTS-SCBMPC100-W","Confirmed","5","Confirmed"
"BOTS-SCBMPR100-W","Confirmed","5","Confirmed"
"BOTS-SBLF200-W","Confirmed","5","Confirmed"
"BOTS-SBLSR200-W","Confirmed","5","Confirmed"
"BOTS-TBSFT50R0-EM","Confirmed","5","Confirmed"
"BOTS-TLOC60R0-EM","Confirmed","5","Confirmed"
"BOTS-WPFT50R0-EM","Confirmed","5","Confirmed"
"BOTO-SBMIS10R0-EM","Confirmed","5","Confirmed"
"BOTO-SBMOM10R0-EM","Confirmed","5","Confirmed"
"BOTO-SBMPD10R0-EM","Confirmed","5","Confirmed"
"BOTO-SBMRF10R0-EM","Confirmed","5","Confirmed"
"BOTO-SBSLPR2-E","Confirmed","5","Confirmed"
"BOTO-SBSLPR3-E","Confirmed","1","Confirmed"
"BOTO-SBSLPR4-E","Confirmed","2","Confirmed"
"BOTP-CVMPB01R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB02R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB03R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB04R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB05R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB06R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB07R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB08R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB09R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB10R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB11R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB12R0-W","Confirmed","5","Confirmed"
"BOTP-CVMPB13R0-W","Confirmed","3","Confirmed"
"BOTP-CVMPB14R0-W","Confirmed","3","Confirmed"
"BOTP-EMLCR0-W","Confirmed","20","Confirmed"
"BOTP-WIMLMPFER0-IP","Confirmed","3","Confirmed"
"BOTP-PTMSE10-MO","Confirmed","5","Confirmed"
"BOTP-PTMSE20-MO","Confirmed","5","Confirmed"
"BOTP-PTMSE30-MO","Confirmed","5","Confirmed"
"BOTP-PTMSE40-MO","Confirmed","5","Confirmed"
"BOTP-PTMSE50-MO","Confirmed","5","Confirmed"
"BOTP-PTMSE60-MO","Confirmed","5","Confirmed"
"BOTP-PTMLER0-MO","Confirmed","20","Confirmed"
"BOTP-CADLP00AJR0-W","Confirmed","3","Confirmed"
"BOTP-CADLP13DLR0-W","Confirmed","3","Confirmed"
"BOTP-CADLP14RLR0-W","Confirmed","3","Confirmed"
"BOTP-CADLP15DNR0-W","Confirmed","3","Confirmed"
"BOTP-CADLP16KLR0-W","Confirmed","3","Confirmed"
"BOTP-CADLP17TBR0-W","Confirmed","3","Confirmed"
"BOTP-ILSLS01R0-W","Confirmed","3","Confirmed"
"BOTP-ILSLS02R0-W","Confirmed","3","Confirmed"
"BOTP-ILSLS03R0-W","Confirmed","3","Confirmed"
"BOTP-ILSLS04R0-W","Confirmed","3","Confirmed"
"BOTP-ILSLS05R0-W","Confirmed","3","Confirmed"
"BOTP-ILSLS06R0-W","Confirmed","3","Confirmed"
"BOTP-WEIMLR0-IP","Confirmed","0","Draft"
"BOTP-MLMPR0-IP","Confirmed","0","Draft"
"BOTP-WIEIM09R0-W","Confirmed","5","Confirmed"
"BOTP-WIEIM10R0-W","Confirmed","5","Confirmed"
"BOTP-WIEIM11R0-W","Confirmed","5","Confirmed"
"BOTP-WIEIM12R0-W","Confirmed","5","Confirmed"
"BUKU-BYS2126-MO","Confirmed","3","Draft"
"LAR-SF30-BULK","Confirmed","5","Confirmed"
"WARN-B-BULK","Confirmed","5","Confirmed"
"P-PBA-MO","Confirmed","0","Draft"
"P-NFSASRMPFC-W","Confirmed","3","Draft"
"CAPS-CBBMP50R1-W","Confirmed","5","Confirmed"
"CAPS-CBBPF50R1-W","Confirmed","5","Confirmed"
"CAPS-CBBR50R1-W","Confirmed","5","Confirmed"
"CAPS-CBBS50R1-W","Confirmed","5","Confirmed"
"CAPS-CBGSPAREV1-P","Confirmed","5","Confirmed"
"CAPS-CSPALREV12-P","Confirmed","5","Confirmed"
"CAPS-CBBWLG150-W","Confirmed","5","Confirmed"
"CAPS-CBBWM&P150-W","Confirmed","5","Confirmed"
"CAPS-CBBWST150-W","Confirmed","5","Confirmed"
"CAPS-CBBST150-W","Confirmed","5","Confirmed"
"CAPS-CBBWO150-W","Confirmed","5","Confirmed"
"CAPS-CBBWPF150-W","Confirmed","5","Confirmed"
"CAPS-CBBWR150-W","Confirmed","5","Confirmed"
"CAPS-CBBL&G50WR-W","Confirmed","5","Confirmed"
"CAPS-CBBMP50-W","Confirmed","5","Confirmed"
"CAPS-CBBO50-W","Confirmed","5","Confirmed"
"CAPS-CBBR50WRP-W","Confirmed","5","Confirmed"
"CAPS-CBBPF50WRP-W","Confirmed","5","Confirmed"
"CAPS-CBBR100-W","Confirmed","5","Confirmed"
"CAPS-CBBS100-W","Confirmed","5","Confirmed"
"CAPS-CBBO100-W","Confirmed","5","Confirmed"
"CAPS-HMSPAREV12-P","Confirmed","5","Confirmed"
"CAPS-OBS240REV1-P","Confirmed","5","Confirmed"
"CAPR-PTC-IX","Confirmed","5","Confirmed"
"CAPS-SSWFP150-W","Confirmed","5","Confirmed"
"CAPS-SSWST150-W","Confirmed","5","Confirmed"
"CAPS-SSWO150-W","Confirmed","5","Confirmed"
"CAPS-SSWO24-W","Confirmed","5","Confirmed"
"CAPS-TCBBWSTWRP-W","Confirmed","5","Confirmed"
"CAPS-BSCP100R0-EM","Confirmed","5","Confirmed"
"CAPS-BSK100-EM","Confirmed","5","Confirmed"
"CAPS-BSCW100R0-EM","Confirmed","5","Confirmed"
"CAPS-CBAV240R0-P","Confirmed","5","Confirmed"
"CAPS-CBRSPA240-P","Confirmed","5","Confirmed"
"WARN-CBBLKAIO-BULK","Confirmed","5","Confirmed"
"WARN-CBC19011-BULK","Confirmed","5","Confirmed"
"WARN-CBC19012-BULK","Confirmed","5","Confirmed"
"WARN-CBC196619-BULK","Confirmed","5","Confirmed"
"WARN-CB335138A-BULK","Confirmed","5","Confirmed"
"WARN-CB338073-BULK","Confirmed","5","Confirmed"
"WARN-CBC394433-BULK","Confirmed","5","Confirmed"
"WARN-CBR27MS-BULK","Confirmed","5","Confirmed"
"WARN-CBRRT-BULK","Confirmed","3","Draft"
"WARN-CBESI2Y-BULK","Confirmed","2","Confirmed"
"WARN-CBESIR217-BULK","Confirmed","2","Confirmed"
"WARN-CBTO-BULK","Confirmed","5","Confirmed"
"WARN-CBTITAN-BULK","Confirmed","5","Confirmed"
"WARN-CBETE-BULK","Confirmed","2","Confirmed"
"WARN-CBTRO-BULK","Confirmed","5","Confirmed"
"WARN-CBEWHBI2-BULK","Confirmed","2","Confirmed"
"WARN-CBEWKBI2-BULK","Confirmed","2","Confirmed"
"WARN-CBEWMBI2-BULK","Confirmed","2","Confirmed"
"CONP-SBLER0-MO","Confirmed","3","Confirmed"
"CONP-EFCCR0-W","Confirmed","0","Draft"
"CONP-ETWCR0-W","Confirmed","3","Confirmed"
"CONP-TSESMR0-MO","Confirmed","5","Confirmed"
"CONP-TSESPR0-MO","Confirmed","5","Confirmed"
"CONP-TSEB-E","Confirmed","5","Confirmed"
"MUP-NMCB-WBH","Confirmed","0","Draft"
"P-CLD-P","Confirmed","0","Draft"
"FT-CHGN2P-W","Confirmed","3","Confirmed"
"FT-CHG-W","Confirmed","4","Confirmed"
"FT-RCHG-W","Confirmed","4","Confirmed"
"P-CLER-W","Confirmed","0","Draft"
"P-CESR-W","Confirmed","5","Confirmed"
"P-CLFR-W","Confirmed","0","Draft"
"P-CLBOISC-W","Confirmed","0","Draft"
"SRM-CLA-W","Confirmed","4","Confirmed"
"FW-CFW-W","Confirmed","5","Confirmed"
"FW-RCFW-W","Confirmed","6","Confirmed"
"FW-CFWN2P-W","Confirmed","4","Confirmed"
"P-CLM-W","Confirmed","0","Draft"
"P-CLNR-W","Confirmed","0","Draft"
"SRM-RCABN2P-W","Confirmed","0","Draft"
"SRM-CAB-W","Confirmed","5","Confirmed"
"SRM-RCAB-W","Confirmed","5","Confirmed"
"M-RCSAOC10P-W","Confirmed","0","Draft"
"M-CSAOC-W","Confirmed","5","Confirmed"
"M-RCSAOC-W","Confirmed","5","Confirmed"
"SRM-RCSAE-W","Confirmed","7","Confirmed"
"REM-RCDAMG-W","Confirmed","4","Confirmed"
"SRM-RCSRO10P-W","Confirmed","0","Draft"
"SRM-CSRO-W","Confirmed","5","Confirmed"
"SRM-RCSRO-W","Confirmed","5","Confirmed"
"M-RCSRRCN2P-W","Confirmed","0","Draft"
"M-RCSRRC-W","Confirmed","5","Confirmed"
"P-DMU1-W","Confirmed","3","Draft"
"L-CVM02WDDR0-W","Confirmed","5","Confirmed"
"L-CVM03WDDR0-W","Confirmed","5","Confirmed"
"L-CVM04WDDR0-W","Confirmed","5","Confirmed"
"L-CVM06WDDR0-W","Confirmed","5","Confirmed"
"L-CVM07WDDR0-W","Confirmed","5","Confirmed"
"L-CVM08WDDR0-W","Confirmed","5","Confirmed"
"L-CVM01RMDR0-W","Confirmed","5","Confirmed"
"L-CVM08RMDR0-W","Confirmed","5","Confirmed"
"L-CVM09RMDR0-W","Confirmed","5","Confirmed"
"L-CVM10RMDR0-W","Confirmed","5","Confirmed"
"L-CVM13RMDR0-W","Confirmed","5","Confirmed"
"DUSS-AASG15-WM","Confirmed","3","Confirmed"
"DUSS-ADM40R1-WM","Confirmed","3","Confirmed"
"DUSS-ADM40-WM","Confirmed","3","Confirmed"
"DUSS-ANTM40R1-WM","Confirmed","3","Confirmed"
"DUSS-ANTM40-WM","Confirmed","5","Confirmed"
"DUSS-BSTUC20R0-E","Confirmed","3","Confirmed"
"DUSS-CDDDCL20R1-WM","Confirmed","3","Confirmed"
"DUSS-CDDDCL20-WM","Confirmed","3","Confirmed"
"DUSS-CDDDCN20R1-WM","Confirmed","3","Confirmed"
"DUSS-CDDDCN20-WM","Confirmed","3","Confirmed"
"DUSS-CADLP00R0-W","Confirmed","3","Confirmed"
"DUSS-CADLP13R0-W","Confirmed","3","Confirmed"
"DUSS-CADLP14R0-W","Confirmed","3","Confirmed"
"DUSS-CADLP15R0-W","Confirmed","3","Confirmed"
"DUSS-CADLP16R0-W","Confirmed","3","Confirmed"
"DUSS-CADLP17R0-W","Confirmed","3","Confirmed"
"DUSS-CSBANC15-W","Waiting for Approval","3","Confirmed"
"DUSS-CSET125R1-WM","Confirmed","3","Confirmed"
"DUSS-CSEDCC10R1-WM","Confirmed","3","Confirmed"
"DUSS-CSEDCC10R0-W","Confirmed","3","Confirmed"
"DUSS-RCVPF11CR0-W","Confirmed","1","Confirmed"
"DUSS-RCVPF22NR0-W","Confirmed","1","Confirmed"
"DUSS-RCVPF23WR0-W","Confirmed","1","Confirmed"
"DUSS-RCVPF32NR0-W","Confirmed","1","Confirmed"
"DUSS-RCVPF33WR0-W","Confirmed","1","Confirmed"
"DUSS-RCVPF42NR0-W","Confirmed","1","Confirmed"
"DUSS-RCVPF43WR0-W","Confirmed","1","Confirmed"
"DUSS-RCVPF52NR0-W","Confirmed","1","Confirmed"
"DUSS-DMCP01R0-E","Confirmed","2","Confirmed"
"DUSS-DMCP02R0-E","Confirmed","2","Confirmed"
"DUSS-DMCP03R0-E","Confirmed","2","Confirmed"
"DUSS-DMCP04R0-E","Confirmed","2","Confirmed"
"DUSS-EMLC01H-W","Confirmed","5","Confirmed"
"DUSS-EMLC02H-W","Confirmed","5","Confirmed"
"DUSS-EMLC03H-W","Confirmed","5","Confirmed"
"DUSS-EMLC03R0-WM","Confirmed","5","Confirmed"
"DUSS-EMLC04H-W","Confirmed","5","Confirmed"
"DUSS-EMLC05H-W","Confirmed","5","Confirmed"
"DUSS-EMLC06H-W","Confirmed","5","Confirmed"
"DUSS-EMLC07H-W","Confirmed","5","Confirmed"
"DUSS-EMLC08H-W","Confirmed","5","Confirmed"
"DUSS-EMLC09H-W","Confirmed","5","Confirmed"
"DUSS-EMLC09R0-WM","Confirmed","5","Confirmed"
"DUSS-EMLC10H-W","Confirmed","5","Confirmed"
"DUSS-EMLC11H-W","Confirmed","5","Confirmed"
"DUSS-EMLC11R0-WM","Confirmed","5","Confirmed"
"DUSS-EMLC12H-W","Confirmed","5","Confirmed"
"DUSS-EMLC13H-W","Confirmed","5","Confirmed"
"DUSS-EMLC14H-W","Confirmed","5","Confirmed"
"DUSS-EMLC15H-W","Confirmed","5","Confirmed"
"DUSS-EMLC16H-W","Confirmed","5","Confirmed"
"DUSS-EMLC17H-W","Confirmed","5","Confirmed"
"DUSS-EMLC18H-W","Confirmed","5","Confirmed"
"DUSS-IMLCR0-W","Confirmed","5","Confirmed"
"DUSS-LBBCL30R1-WM","Confirmed","3","Confirmed"
"DUSS-LBBCL30-WM","Confirmed","3","Confirmed"
"DUSS-LBBCN30R1-WM","Confirmed","3","Confirmed"
"DUSS-LBBCN30-WM","Confirmed","3","Confirmed"
"DUSS-LDC20RLR0-W","Confirmed","5","Confirmed"
